Index,All Students,Minority,Economically Disadvantaged,Female,Male,Bil/ESL,Gifted,Special Ed,Title1,At Risk,Immigrant,Migrant,Dyslexic,Homeless,Foster Care,District,Year
65,50,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,20907,13
66,58.9,0.5781893,0.120652174,0.530810811,0.469189189,0.026455026,0.22826087,0.026595745,0.026567481,0.091803279,0.026624068,0.026315789,0,0,0,20908,13
67,82.4,0.495614035,0.102902375,0.562340967,0.437659033,0.06234414,0.350923483,0.06234414,0.058823529,0.053333333,0.0625,0.058823529,0,0,0,21901,13
68,46.9,0.548780488,0.337837838,0.559105431,0.440894569,0.076923077,0.501805054,0.076923077,0.076923077,0.331125828,0.076923077,0.076923077,0,0,0,21902,13
69,72,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,22901,13
70,50,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,25902,13
71,56.6,0.833333333,0.431034483,0.5,0.5,0.333333333,0.520833333,0.333333333,0.333333333,0.431034483,0.333333333,0.333333333,0,0,0,25909,13
72,53.2,0.806451613,0.390625,0.431818182,0.568181818,0.333333333,0.568181818,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,26901,13
73,66.7,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,26903,13
74,13.5,0.666666667,0.423728814,0.547368421,0.452631579,0.2,0.25,0.2,0.2,0.245098039,0.2,0.2,0,0,0,27903,13
75,50,0.735,0.269230769,0.576923077,0.423076923,0.2,0.307692308,0.245098039,0.2,0.274725275,0.247524752,0.2,0,0,0,27904,13
76,26.9,0.815498155,0.532467532,0.574193548,0.425806452,0.140449438,0.253246753,0.145348837,0.125,0.137254902,0.142045455,0.125,0,0,0,28902,13
77,18,0.758928571,0.328947368,0.4921875,0.5078125,0.164473684,0.364963504,0.165562914,0.142857143,0.176056338,0.164473684,0.142857143,0,0,0,29901,13
78,11.8,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,30902,13
79,45.5,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,31803,13
80,15.9,0.986257928,0.92925863,0.554257095,0.445742905,0.028232637,0.225861095,0.014116318,0.986111111,0.307126697,0.014164306,0.028074116,0,0,0,31901,13
81,22,0.876383764,0.430523918,0.572769953,0.427230047,0.056818182,0.228832952,0.055555556,0.055555556,0.256292906,0.057471264,0.056561086,0,0,0,31903,13
82,20.1,0.894514768,0.557522124,0.604395604,0.395604396,0.2,0.25,0.2,0.8,0.255102041,0.2,0.223214286,0,0,0,31905,13
83,51.2,0.914383562,0.563953488,0.611464968,0.388535032,0.139664804,0.436046512,0.139664804,0.875,0.122807018,0.125,0.139664804,0,0,0,31906,13
84,21.7,0.885844749,0.731182796,0.695121951,0.304878049,0.247524752,0.277777778,0.2,0.8,0.175824176,0.2,0.2,0,0,0,31909,13
